старый новый
друг враг
хороший плохой
новый старый
поспешить помедлить
человек зверь
насмешить расстроить
хороший плохой
поздно рано
никогда всегда
давать брать
бить обнимать
бежать стоять
брать давать
яблоко груша
яблоня груша
падать взлетать
недалеко далеко
богатый бедный
рад грустен
хорошо плохо
мы вы
нет есть
приходить уходить
беда радость
отворять затворять
рыть закапывать
яма холм
она он
война мир
мать отец
царь шут
голова хвост
русский иностранец
медленно быстро
быстро медленно
цыпленок котенок
осень весна
паршивый хороший
овца волк
портить улучшать
поле лес
воин трус
нянька тюремщик
дитя старик
глаз ухо
терпенье нетерпенье
труд лень
быстро медленно
кошка собака
родиться умереть
сытый голодный
брюхо спина
учение невежество
глухо восприимчиво
слово молчание
воробей страус
вылететь влететь
поймать упустить
дым пар
огонь вода
отмерить прикинуть	
отрезать пришить
учить отучивать
ученый глупец
речистый молчаливый
нечистый чистый
работа безделье 
убежать прибежать
волк овца
лес поле
Будить усыплять
лихо благо
тихо громко
работа безделье
веселье грусть
любить ненавидеть
пуганый приласканный
ворона попугай 
куст дерево
правда ложь
мягко жестко
жесткий мягкий
спать просыпаться
хата дворец
синица журавль
журавль синица
небо земля
друг враг
искать терять
найти потерять
беречь бросать
железо алмаз
горячий холодный
завтра сегодня
сегодня завтра
грязь чистота
князь холоп
незваный званый
гость хозяин
запасливый расточительный
богатый бедный
свадьба похороны
кулак ладонь
зажить разболеться
высоко низко
далеко близко
нет да
девичий мальчишечий
отказ согласие
Бог чёрт
царь холоп
голодный сытый
волк овца
сильный слабый
собака кошка
родиться умереть
терять находить
дружба вражда
нога рука
вместе врозь
врозь вместе
скучно весело
вода огонь
вечный временный
мир война
первый последний
веселый грустный
смерть жизнь
страшный милый
баба мужик
чёрт ангел
бедный богатый
белый чёрный
ворона попугай
свой чужой
тихий шумный
беда радость
приходить уходить
добро зло
долго недолго
рыбка птичка
пруд озеро
тихо шумно
лихо благо
бить обнимать
свои чужие
чужие свои
дурной хороший
голова хвост
нога рука
покой тревога
бояться храбриться
бешеный спокойный
верста дюйм
дорогой дешёвый
ложка вилка
обед ужин
дело безделье
потеха дело
сани лодка
телега карета
лето зима
зима лето
много мало
состариться помолодеть
трезвый пьяный
пьяный трезвый
ум сердце
язык нос
жить умирать
коптить белить
рука нога
худой хороший
пригодиться заваляться
камень воздух
рождаться мереть
